,food_type,temperature,hours_already_spent,risk
6606,Dal/lentils,cool temperature(approx. 18 C),11.5,very high
6607,Dry vegetable dishes,refrigerated temperature,0.98,low
6608,Dal/lentils,refrigerated temperature,8.04,low
6609,Dairy-based curries,cool temperature(approx. 18 C),2.27,very high
6610,Dal/lentils,cool temperature(approx. 18 C),8.21,very high
6611,Sweets,refrigerated temperature,3.16,low
6612,Gravy-based veg curries,refrigerated temperature,7.8,low
6613,Fried items,room temperature(more than 25 C),9.13,very high
6614,Fresh breads,cool temperature(approx. 18 C),4.97,medium
6615,Gravy-based veg curries,refrigerated temperature,8.23,low
6616,Fresh breads,room temperature(more than 25 C),7.45,very high
6617,Cooked rice dish,cool temperature(approx. 18 C),1.0,high
6618,Sweets,refrigerated temperature,3.52,low
6619,Fresh breads,room temperature(more than 25 C),10.4,very high
6620,Gravy-based veg curries,cool temperature(approx. 18 C),4.11,high
6621,Gravy-based veg curries,refrigerated temperature,6.9,low
6622,Dairy-based curries,refrigerated temperature,2.75,low
6623,Sweets,refrigerated temperature,2.1,low
6624,Dry vegetable dishes,room temperature(more than 25 C),7.96,very high
6625,Sweets,room temperature(more than 25 C),4.95,very high
6626,Dry vegetable dishes,cool temperature(approx. 18 C),8.28,high
6627,Cooked rice dish,room temperature(more than 25 C),5.51,very high
6628,Dal/lentils,cool temperature(approx. 18 C),0.56,medium
6629,Fresh breads,cool temperature(approx. 18 C),2.9,low
6630,Dal/lentils,cool temperature(approx. 18 C),3.23,medium
6631,Fried items,refrigerated temperature,1.5,low
6632,Sweets,refrigerated temperature,10.86,low
6633,Gravy-based veg curries,room temperature(more than 25 C),10.41,very high
6634,Dry vegetable dishes,room temperature(more than 25 C),2.48,high
6635,Dry vegetable dishes,room temperature(more than 25 C),8.25,very high
6636,Fresh breads,refrigerated temperature,10.81,low
6637,Dal/lentils,room temperature(more than 25 C),3.03,very high
6638,Dairy-based curries,room temperature(more than 25 C),11.03,very high
6639,Cooked rice dish,cool temperature(approx. 18 C),0.67,high
6640,Fried items,room temperature(more than 25 C),5.36,high
6641,Dal/lentils,cool temperature(approx. 18 C),6.76,very high
6642,Non-veg curries,cool temperature(approx. 18 C),10.72,very high
6643,Dry vegetable dishes,cool temperature(approx. 18 C),8.36,high
6644,Non-veg curries,cool temperature(approx. 18 C),11.4,very high
6645,Fried items,refrigerated temperature,8.17,low
6646,Fresh breads,cool temperature(approx. 18 C),3.25,low
6647,Fried items,refrigerated temperature,7.24,low
6648,Fresh breads,room temperature(more than 25 C),3.93,medium
6649,Fried items,room temperature(more than 25 C),7.35,very high
6650,Dairy-based curries,room temperature(more than 25 C),6.51,very high
6651,Cooked rice dish,cool temperature(approx. 18 C),9.54,very high
6652,Dal/lentils,refrigerated temperature,7.01,low
6653,Fresh breads,room temperature(more than 25 C),1.24,medium
6654,Dairy-based curries,room temperature(more than 25 C),2.72,very high
6655,Gravy-based veg curries,room temperature(more than 25 C),1.62,high
6656,Cooked rice dish,refrigerated temperature,3.74,low
6657,Dry vegetable dishes,cool temperature(approx. 18 C),9.76,high
6658,Sweets,refrigerated temperature,10.23,low
6659,Fresh breads,room temperature(more than 25 C),4.29,high
6660,Fried items,cool temperature(approx. 18 C),4.79,low
6661,Gravy-based veg curries,refrigerated temperature,8.66,low
6662,Non-veg curries,refrigerated temperature,10.07,low
6663,Cooked rice dish,refrigerated temperature,6.84,low
6664,Gravy-based veg curries,room temperature(more than 25 C),0.96,high
6665,Dal/lentils,cool temperature(approx. 18 C),4.76,high
6666,Fresh breads,room temperature(more than 25 C),9.95,very high
6667,Dry vegetable dishes,cool temperature(approx. 18 C),5.27,medium
6668,Non-veg curries,cool temperature(approx. 18 C),7.56,very high
6669,Fried items,refrigerated temperature,0.48,low
6670,Fresh breads,room temperature(more than 25 C),10.97,very high
6671,Dairy-based curries,cool temperature(approx. 18 C),10.38,very high
6672,Fresh breads,cool temperature(approx. 18 C),5.63,medium
6673,Fresh breads,room temperature(more than 25 C),3.02,medium
6674,Cooked rice dish,cool temperature(approx. 18 C),1.27,high
6675,Non-veg curries,cool temperature(approx. 18 C),6.24,very high
6676,Dal/lentils,room temperature(more than 25 C),0.32,high
6677,Gravy-based veg curries,room temperature(more than 25 C),6.39,very high
6678,Dal/lentils,refrigerated temperature,0.85,low
6679,Dal/lentils,refrigerated temperature,1.89,low
6680,Dal/lentils,refrigerated temperature,8.28,low
6681,Dairy-based curries,cool temperature(approx. 18 C),7.91,very high
6682,Sweets,cool temperature(approx. 18 C),2.79,low
6683,Fried items,refrigerated temperature,8.21,low
6684,Sweets,refrigerated temperature,1.3,low
6685,Dairy-based curries,cool temperature(approx. 18 C),5.43,very high
6686,Fried items,cool temperature(approx. 18 C),3.34,low
6687,Dry vegetable dishes,room temperature(more than 25 C),1.78,medium
6688,Fresh breads,refrigerated temperature,6.98,low
6689,Dal/lentils,refrigerated temperature,10.92,low
6690,Fried items,cool temperature(approx. 18 C),2.47,low
6691,Dry vegetable dishes,refrigerated temperature,7.46,low
6692,Cooked rice dish,refrigerated temperature,2.96,low
6693,Sweets,cool temperature(approx. 18 C),6.65,medium
6694,Cooked rice dish,cool temperature(approx. 18 C),4.51,very high
6695,Dairy-based curries,refrigerated temperature,0.91,low
6696,Dal/lentils,room temperature(more than 25 C),9.21,very high
6697,Dal/lentils,room temperature(more than 25 C),6.58,very high
6698,Dal/lentils,cool temperature(approx. 18 C),8.92,very high
6699,Non-veg curries,refrigerated temperature,0.7,low
6700,Fried items,cool temperature(approx. 18 C),7.29,low
6701,Fresh breads,cool temperature(approx. 18 C),1.93,low
6702,Gravy-based veg curries,refrigerated temperature,8.16,low
6703,Non-veg curries,room temperature(more than 25 C),10.9,very high
6704,Fried items,cool temperature(approx. 18 C),0.42,low
6705,Sweets,cool temperature(approx. 18 C),1.48,low
6706,Non-veg curries,refrigerated temperature,5.91,low
6707,Dal/lentils,cool temperature(approx. 18 C),7.71,very high
6708,Dry vegetable dishes,cool temperature(approx. 18 C),10.73,very high
6709,Sweets,cool temperature(approx. 18 C),7.0,medium
6710,Gravy-based veg curries,refrigerated temperature,1.59,low
6711,Fresh breads,cool temperature(approx. 18 C),4.12,medium
6712,Cooked rice dish,refrigerated temperature,9.33,low
6713,Sweets,refrigerated temperature,5.48,low
6714,Dal/lentils,refrigerated temperature,3.28,low
6715,Dal/lentils,cool temperature(approx. 18 C),3.4,medium
6716,Non-veg curries,room temperature(more than 25 C),9.49,very high
6717,Dairy-based curries,refrigerated temperature,3.41,low
6718,Dairy-based curries,refrigerated temperature,4.05,low
6719,Fried items,room temperature(more than 25 C),8.0,very high
6720,Fried items,cool temperature(approx. 18 C),7.92,low
6721,Dairy-based curries,refrigerated temperature,4.91,low
6722,Cooked rice dish,refrigerated temperature,7.52,low
6723,Fresh breads,refrigerated temperature,10.17,low
6724,Non-veg curries,refrigerated temperature,4.44,low
6725,Cooked rice dish,cool temperature(approx. 18 C),8.11,very high
6726,Dairy-based curries,room temperature(more than 25 C),2.71,very high
6727,Non-veg curries,cool temperature(approx. 18 C),0.76,high
6728,Non-veg curries,room temperature(more than 25 C),9.28,very high
6729,Dairy-based curries,room temperature(more than 25 C),4.58,very high
6730,Cooked rice dish,refrigerated temperature,1.56,low
6731,Cooked rice dish,refrigerated temperature,9.82,low
6732,Fried items,room temperature(more than 25 C),9.0,very high
6733,Fresh breads,refrigerated temperature,7.13,low
6734,Gravy-based veg curries,room temperature(more than 25 C),3.62,very high
6735,Cooked rice dish,room temperature(more than 25 C),7.11,very high
6736,Fresh breads,room temperature(more than 25 C),6.04,very high
6737,Cooked rice dish,cool temperature(approx. 18 C),10.71,very high
6738,Dry vegetable dishes,cool temperature(approx. 18 C),9.55,high
6739,Fresh breads,room temperature(more than 25 C),3.93,medium
6740,Fried items,room temperature(more than 25 C),8.76,very high
6741,Fresh breads,refrigerated temperature,11.09,low
6742,Cooked rice dish,cool temperature(approx. 18 C),0.41,high
6743,Cooked rice dish,cool temperature(approx. 18 C),2.58,very high
6744,Dry vegetable dishes,refrigerated temperature,1.07,low
6745,Dal/lentils,refrigerated temperature,7.61,low
6746,Dairy-based curries,room temperature(more than 25 C),4.45,very high
6747,Non-veg curries,refrigerated temperature,7.25,low
6748,Sweets,refrigerated temperature,6.56,low
6749,Sweets,cool temperature(approx. 18 C),2.78,low
6750,Non-veg curries,cool temperature(approx. 18 C),2.13,very high
6751,Gravy-based veg curries,room temperature(more than 25 C),1.85,high
6752,Cooked rice dish,cool temperature(approx. 18 C),8.92,very high
6753,Fresh breads,refrigerated temperature,7.0,low
6754,Dry vegetable dishes,cool temperature(approx. 18 C),0.39,low
6755,Sweets,refrigerated temperature,10.09,low
6756,Fried items,cool temperature(approx. 18 C),5.0,low
6757,Dairy-based curries,refrigerated temperature,9.45,low
6758,Fresh breads,room temperature(more than 25 C),5.02,high
6759,Non-veg curries,refrigerated temperature,7.6,low
6760,Dairy-based curries,cool temperature(approx. 18 C),3.34,very high
6761,Non-veg curries,refrigerated temperature,2.26,low
6762,Dal/lentils,cool temperature(approx. 18 C),0.37,medium
6763,Gravy-based veg curries,cool temperature(approx. 18 C),2.8,medium
6764,Non-veg curries,cool temperature(approx. 18 C),4.79,very high
6765,Fresh breads,refrigerated temperature,0.79,low
6766,Cooked rice dish,cool temperature(approx. 18 C),4.93,very high
6767,Dal/lentils,cool temperature(approx. 18 C),8.21,very high
6768,Non-veg curries,cool temperature(approx. 18 C),4.05,very high
6769,Sweets,refrigerated temperature,0.93,low
6770,Cooked rice dish,room temperature(more than 25 C),2.14,very high
6771,Cooked rice dish,refrigerated temperature,9.9,low
6772,Gravy-based veg curries,refrigerated temperature,3.77,low
6773,Sweets,refrigerated temperature,8.36,low
6774,Dairy-based curries,cool temperature(approx. 18 C),10.09,very high
6775,Dairy-based curries,refrigerated temperature,1.76,low
6776,Gravy-based veg curries,refrigerated temperature,6.94,low
6777,Dairy-based curries,refrigerated temperature,0.13,low
6778,Dal/lentils,refrigerated temperature,10.61,low
6779,Gravy-based veg curries,room temperature(more than 25 C),11.17,very high
6780,Gravy-based veg curries,cool temperature(approx. 18 C),11.08,very high
6781,Dry vegetable dishes,refrigerated temperature,4.06,low
6782,Dal/lentils,refrigerated temperature,6.13,low
6783,Dairy-based curries,cool temperature(approx. 18 C),2.88,very high
6784,Gravy-based veg curries,cool temperature(approx. 18 C),2.57,medium
6785,Dairy-based curries,refrigerated temperature,8.65,low
6786,Dal/lentils,refrigerated temperature,6.85,low
6787,Sweets,room temperature(more than 25 C),0.15,medium
6788,Cooked rice dish,room temperature(more than 25 C),3.43,very high
6789,Dal/lentils,refrigerated temperature,10.0,low
6790,Dry vegetable dishes,room temperature(more than 25 C),8.9,very high
6791,Non-veg curries,cool temperature(approx. 18 C),0.79,high
6792,Fresh breads,cool temperature(approx. 18 C),7.47,medium
6793,Gravy-based veg curries,refrigerated temperature,1.62,low
6794,Dairy-based curries,cool temperature(approx. 18 C),0.25,high
6795,Non-veg curries,cool temperature(approx. 18 C),4.36,very high
6796,Dal/lentils,cool temperature(approx. 18 C),8.57,very high
6797,Sweets,refrigerated temperature,3.29,low
6798,Dal/lentils,cool temperature(approx. 18 C),2.98,medium
6799,Dairy-based curries,cool temperature(approx. 18 C),8.44,very high
6800,Non-veg curries,cool temperature(approx. 18 C),4.4,very high
6801,Non-veg curries,refrigerated temperature,11.32,low
6802,Dry vegetable dishes,cool temperature(approx. 18 C),9.2,high
6803,Fried items,cool temperature(approx. 18 C),2.89,low
6804,Dairy-based curries,cool temperature(approx. 18 C),7.45,very high
6805,Fresh breads,refrigerated temperature,9.26,low
6806,Dairy-based curries,refrigerated temperature,9.36,low
6807,Non-veg curries,refrigerated temperature,11.67,low
6808,Fresh breads,cool temperature(approx. 18 C),10.25,very high
6809,Sweets,refrigerated temperature,10.87,low
6810,Fresh breads,room temperature(more than 25 C),11.34,very high
6811,Sweets,refrigerated temperature,3.8,low
6812,Gravy-based veg curries,room temperature(more than 25 C),7.63,very high
6813,Sweets,cool temperature(approx. 18 C),8.66,high
6814,Cooked rice dish,room temperature(more than 25 C),2.8,very high
6815,Cooked rice dish,refrigerated temperature,1.57,low
6816,Dairy-based curries,room temperature(more than 25 C),11.8,very high
6817,Non-veg curries,cool temperature(approx. 18 C),5.83,very high
6818,Dry vegetable dishes,cool temperature(approx. 18 C),5.46,medium
6819,Fried items,room temperature(more than 25 C),7.38,very high
6820,Non-veg curries,refrigerated temperature,1.91,low
6821,Sweets,refrigerated temperature,0.37,low
6822,Non-veg curries,room temperature(more than 25 C),1.33,very high
6823,Sweets,cool temperature(approx. 18 C),7.96,medium
6824,Dry vegetable dishes,refrigerated temperature,6.51,low
6825,Dairy-based curries,room temperature(more than 25 C),9.91,very high
6826,Dry vegetable dishes,cool temperature(approx. 18 C),5.68,medium
6827,Gravy-based veg curries,room temperature(more than 25 C),11.83,very high
6828,Fresh breads,room temperature(more than 25 C),5.39,high
6829,Dairy-based curries,refrigerated temperature,9.14,low
6830,Dairy-based curries,room temperature(more than 25 C),7.58,very high
6831,Dal/lentils,room temperature(more than 25 C),9.75,very high
6832,Fresh breads,room temperature(more than 25 C),1.34,medium
6833,Cooked rice dish,cool temperature(approx. 18 C),1.72,high
6834,Fresh breads,refrigerated temperature,5.13,low
6835,Dry vegetable dishes,cool temperature(approx. 18 C),8.29,high
6836,Sweets,cool temperature(approx. 18 C),7.47,medium
6837,Fresh breads,room temperature(more than 25 C),6.41,very high
6838,Gravy-based veg curries,refrigerated temperature,0.46,low
6839,Fresh breads,room temperature(more than 25 C),11.07,very high
6840,Sweets,refrigerated temperature,11.96,low
6841,Dal/lentils,room temperature(more than 25 C),5.1,very high
6842,Fried items,cool temperature(approx. 18 C),10.72,low
6843,Dal/lentils,refrigerated temperature,5.33,low
6844,Fried items,refrigerated temperature,10.31,low
6845,Gravy-based veg curries,room temperature(more than 25 C),5.38,very high
6846,Gravy-based veg curries,refrigerated temperature,9.9,low
6847,Dairy-based curries,room temperature(more than 25 C),2.87,very high
6848,Sweets,cool temperature(approx. 18 C),4.44,medium
6849,Dairy-based curries,refrigerated temperature,10.88,low
6850,Gravy-based veg curries,refrigerated temperature,2.76,low
6851,Dal/lentils,room temperature(more than 25 C),0.89,high
6852,Fresh breads,refrigerated temperature,1.02,low
6853,Fried items,room temperature(more than 25 C),2.44,medium
6854,Fried items,refrigerated temperature,0.28,low
